name,summary,calories,protein,carbs,fat,meal_type,ingredients,instructions,servings,prep_time,cook_time,course,nutrition_details,proper_meal_type,dish_type,t2d_suitable,cvd_suitable,healthiness
Roast Chicken (Pakistani Steam Roast),Roast Chicken (Pakistani Steam Roast) is a popular recipe for a chicken roast marinated in traditional Pakistani spices and steamed to perfection.,199.0,26.0,4.0,9.0,dinner,"['4 lb whole chicken (see notes)', '1 lemon', '1/4 cup white distilled vinegar', '1/4 cup low sodium chicken broth', '2 tbsp butter', '1/2 tsp turmeric powder', '1 tsp coriander powder', '2 tsp red chili powder', '2 tsp salt', '2 inch piece ginger (see notes)', '8 garlic cloves (see notes)', '2 serrano peppers (see notes)', '2 tsp red chili flakes', '2 tsp smoked paprika (see notes)']","['Traditional Pakistani Roast Chicken is made without skin on the chicken. If you source your chicken from a Pakistani butcher they will skin it for you. If not, follow the instructions in the video below!', 'To insure that the chicken is juice and flavored really well on the inside I like to inject it with a spicy liquid marinade as well as massaging the outside with a prepped mixture.', 'Melt the butter, squeeze the lemon juice and then mix all of the ingredients together in a bowl.', 'Using a poultry injection syringe, work your way around the chicken and inject the liquid just under the skin (see notes)', 'The rule is to inject 1 oz of liquid per pound of meat. Too much, and it will start oozing out. Of course, there will be some leakage, as the video below reflects. Just massage this into the surface of the chicken.', 'The most important step is to make sure the chicken is well salted, so rub the salt and massage it in well into the skin. I find 1/2 teaspoon a pound of chicken sufficient as the broth I use has some salt in it too. Feel free to adjust if necessary.', 'Next I grind my ginger, garlic and serrano peppers in my mortar and pestle and rub them all over the chicken to flavor it.', 'The last step is to use the crushed red chili pepper flakes for some spice and the smoked paprika for some added flavor and color (see notes)', 'Heat the cooking oil.', 'Sear the meat lightly on all four sides on full heat.', 'Add 4 cups of water, cover the pot tightly, lower the heat to medium-low, and let the steam cook the meat.', 'Once the meat is cooked to an internal temperature of 165 degrees F, dry out the liquid to a thick gravy and pour it over the roast just before serving.']",8.0,"30
minutes","1
hour",Main Course,"{'Saturated Fat': '3 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '3 g', 'Trans Fat': '0.1 g', 'Cholesterol': '125 mg', 'Sodium': '748 mg', 'Potassium': '395 mg', 'Fiber': '1 g', 'Sugar': '1 g', 'Vitamin A': '689 IU', 'Vitamin C': '9 mg', 'Calcium': '31 mg', 'Iron': '2 mg'}",dinner,main,yes,maybe,7
Gobi Gosht (Meat & Cauliflower Curry),Gobi Gosht (Meat & Cauliflower Curry) is a delectable South Asian curry with tender meat coated in ginger laden and peppered cauliflower.,391.0,22.0,9.0,30.0,dinner,"['1/4 cup cooking oil', '1 onion (SEE NOTES)', '2 tsp garlic paste', '2 lb beef', '4 tomatoes (SEE NOTES)', '2 tsp salt (SEE NOTES)', '2 tsp coriander', '1/4 tsp turmeric', '2 tsp red chili powder (SEE NOTES)', '1 head cauliflower (SEE NOTES)', '1 tsp peppercorns', '2 tbsp crushed ginger', '1 tbsp julienned ginger', '2 tbsp cilantro', 'black pepper (OPTIONAL)']","['Heat the cooking oil.', 'Chop the onions and saute them till they are a rich brown color.', 'Add the garlic paste and saute it for 30 seconds.', 'Add the meat and brown it to seal in all the juices.', ""Then add the tomatoes and water and cook the meat till it's almost tender."", 'Wait till the meat is almost cooked and then dry all the excess liquid .', 'Add in all the powdered spices and roast the meat (SEE NOTES)', 'Add in the cauliflower, peppercorn and ginger along with just enough water to create steam. Cover the pot and simmer the mixture till the cauliflower is cooked through.', 'Turn the flame on high and dry all the excess liquid.', 'Garnish the Gobi Gosht with ginger and cilantro (and black pepper if you wish) and serve with fresh hot Naan or bread of your choice!']",8.0,"15
minutes","1
hour",Main Course,"{'Saturated Fat': '9 g', 'Polyunsaturated Fat': '3 g', 'Monounsaturated Fat': '14 g', 'Trans Fat': '1 g', 'Cholesterol': '81 mg', 'Sodium': '691 mg', 'Potassium': '722 mg', 'Fiber': '3 g', 'Sugar': '4 g', 'Vitamin A': '672 IU', 'Vitamin C': '45 mg', 'Calcium': '53 mg', 'Iron': '3 mg'}",lunch,main,yes,no,6
Aloo Palak (Pakistani Spinach & Potato Curry),Aloo Palak (Pakistani Spinach & Potato Curry) is a traditional dry vegetable curry made with cubed potatoes and sauteed spinach.,292.0,9.0,31.0,16.0,dinner,"['4 tbsp cooking oil', '1 onion (see notes)', '1 tsp garlic paste', '1 tsp cumin seeds', '2 tomatoes (see notes)', '1 tsp salt', '1 tsp red chili powder', '1/4 tsp turmeric powder', '1/2 cup yogurt (see notes)', '1/2 cup frozen fenugreek leaves (see notes)', '12 oz frozen spinach (see notes)', '2 potatoes (see notes)']","[""Heat the oil and saute the onion till it's a light golden brown."", 'Add the garlic paste and saute for 30-60 seconds.', 'Add in the cumin seeds and saute for about 1 minute.', 'Add in the tomatoes and cook on high till the tomatoes start to melt.', 'Reduce the flame, cover and cook for 10 minutes.', 'Uncover, turn the flame on high, add in all the powdered spices and saute the mixture till you have a well blended paste.', 'Add in the yogurt a few tablespoons at a time and saute to complete the curry base.', 'Add in the frozen fenugreek leaves and let them soften with the heat.', 'Add in the frozen spinach, stir to mix in and coat with the gravy.', 'Cover and cook on low heat for 10 minutes till the spinach is cooked through.', 'Uncover, add in the potatoes along with some water if necessary and cook till tender.', 'Once the potatoes are cooked, uncover, turn the heat to high and let all the water evaporate.', 'Serve hot with fresh Naan.']",4.0,"10
minutes","30
minutes","Main Course, Side Dish","{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '9 g', 'Trans Fat': '0.1 g', 'Cholesterol': '4 mg', 'Sodium': '678 mg', 'Potassium': '1003 mg', 'Fiber': '7 g', 'Sugar': '6 g', 'Vitamin A': '10673 IU', 'Vitamin C': '37 mg', 'Calcium': '297 mg', 'Iron': '4 mg'}",lunch,main,maybe,yes,7
Kashmiri Chai {Pink Tea or Noon Chai},"Kashmiri Chai {Pink Tea or Noon Chai} is made from special green tea leaves, infused with cardamom and traditionally flavored with salt",64.0,3.0,6.0,3.0,unknown,"['4 cups Water', '4 tsp Tea Leaves', '1/4 tsp Baking Soda', '1 cup Ice and Water Mixture', '1 1/2 cup Milk', '6 Pods Cardamom', 'Salt as desired', 'Sugar as desired', 'pistachios (OPTIONAL)', 'almonds (OPTIONAL)']","['Put water in a saucepan and add the tea leaves.', 'Bring to a boil, reduce heat to medium and let the tea simmer for about 20 minutes till about 2 cups of water remains.', 'Add the baking soda and you will see the liquid begin to fizz (this will settle down in a few seconds) cook for another 10 minutes after adding the soda and you should see the color of the brew change slightly.', ""Turn the stove off and remove the pot (I like to place it in the sink so it's easier to clean up the pink splashes) and add the cold ice and water mix to the hot brew."", 'Fill a ladle with the tea and pour it back into the pot from a height, agitating the liquid, and do this repetitively till the color visibly brightens and changes to a dark pinkish maroon.', 'Mix this brew with milk (the ratio I like is 1 part tea brew to 1 part milk) and crushed cardamoms (2 cardamom per cup- both the pods and the seeds) and bring to a boil. Simmer for 5-10 minutes and then serve with salt, sugar and if desired, chopped almonds and pistachios.']",4.0,"5
minutes","25
minutes",Drinks,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '0.1 g', 'Monounsaturated Fat': '1 g', 'Cholesterol': '11 mg', 'Sodium': '119 mg', 'Potassium': '173 mg', 'Fiber': '1 g', 'Sugar': '4 g', 'Vitamin A': '148 IU', 'Vitamin C': '1 mg', 'Calcium': '133 mg', 'Iron': '0.4 mg'}",afternoon_snack,condiment,maybe,yes,6
Pakistani Beef Roast With {Tandoori} Masala,Pakistani Beef Roast With {Tandoori} Masala is a delicious fork tender roast beef marinated in a traditional Pakistani tandoori spice blend,572.0,36.0,9.0,44.0,dinner,"['3 lb chuck roast (SEE NOTES)', '3 tsp garam masala', '¾ tsp turmeric powder', '3 tsp amchoor powder', '3 tsp salt', '3 tsp kashmiri chili powder', '3 tsp red chili powder', '3 tsp ginger paste', '3 tsp garlic paste', '3 green chilies (grind to a paste)', '3 cups yogurt (SEE NOTES)', '¾ cup cooking oil (SEE NOTES)']","['Mix the yogurt, ginger, garlic, green chilies and all the spice powders in a bowl.', 'Wash and pat your meat dry and poke some surface holes with a knife to allow the masala to really flavor the meat.', 'Marinate the meat overnight in a tupperware with a tight lid.', ""When you're ready to cook your roast, heat the oil in a large wide pot."", 'Sear the meat on all sides till its a nice dark brown.', 'Add in the remaining marinade and add enough water to cover the meat to the halfway point. Cover the pot and cook on high till the liquid starts to boil.', 'Reduce the heat to a medium low and cook the roast covered for 3 hours.', 'Uncover after 3 hours, turn the flame on high and cook till the liquid is reduced to a thick gravy {SEE NOTES}']",8.0,"30
minutes","3
hours",Main Course,"{'Saturated Fat': '12 g', 'Polyunsaturated Fat': '8 g', 'Monounsaturated Fat': '24 g', 'Trans Fat': '1 g', 'Cholesterol': '129 mg', 'Sodium': '1134 mg', 'Potassium': '749 mg', 'Fiber': '2 g', 'Sugar': '5 g', 'Vitamin A': '558 IU', 'Vitamin C': '3 mg', 'Calcium': '149 mg', 'Iron': '4 mg'}",dinner,main,no,no,4
Hyderabadi Bagara Baingan (Eggplant Curry),Hyderabadi Bagara Baingan (Eggplant Curry) is made with tender baby eggplants cooked in peanut and coconut-flavored gravy.,286.0,3.0,10.0,27.0,dinner,"['6 baby eggplants (see notes)', '1 1/4 cup cooking oil (see notes)', '1/2 cup tamarind water (see notes)', '1 onion (see notes)', '1 tbsp garlic paste', '1 tbsp ginger paste', '3 cups water (see notes)', '1 tsp salt', '1 tsp red chili powder', '1/4 tsp turmeric powder', '12 curry leaves', '1/2 cup dessicated coconut (see notes)', '1/4 cup raw unsalted peanuts (see notes)', '2 tsp sesame seeds', '2 tsp white cumin seeds', '2 tbsp coriander seeds']","['Wash and dry the eggplants and cut slits at the base to make a cross.', 'Fry the eggplants in the cooking oil till the skin softens slightly and then set them aside. (see notes)', 'Soak the tamarind in hot water and set it aside.', 'Dry roast the peanuts, place them on a clean dish towel and rub between the folds to remove as much of the skin as you can and then grind them to a powder. (see notes)', 'Dry roast and grind the remaining ingredients on the list, one at a time, till they are lightly toasted, mix them with the ground peanuts and set the mixture aside.', 'Dice the onions and brown them till they are a medium brown.', 'Once the onions are brown, add and saute the garlic and ginger paste for about 30 seconds.', 'Then add 1 cup of water, reduce the heat cover and cook for 10 minutes so the onions can soften more.', 'After the 10 minutes, uncover, add in the salt, red chili powder and turmeric, along with the roasted and ground ingredients.', 'Add 2 cups of water, bring the mixture to a boil, reduce the heat, cover and cook for 10 minutes.', 'Uncover, add in the tamarind water and curry leaves. Add more water and adjust the spices, if necessary, cover and cook another 10 minutes (see notes)', 'Next, layer the eggplants on top of the curry and cook on low heat for 10 minutes to allow the eggplants to fully cook.']",6.0,"30
minutes","45
minutes","Main Course, Side Dish","{'Saturated Fat': '6 g', 'Polyunsaturated Fat': '6 g', 'Monounsaturated Fat': '14 g', 'Trans Fat': '0.1 g', 'Sodium': '403 mg', 'Potassium': '167 mg', 'Fiber': '3 g', 'Sugar': '4 g', 'Vitamin A': '184 IU', 'Vitamin C': '44 mg', 'Calcium': '52 mg', 'Iron': '1 mg'}",lunch,side,maybe,maybe,6
Easy Moong Masoor Dal (Lentil Curry),This Easy Moong Masoor Dal (Lentil Curry) is a quick and nutritious meal that takes about 30 minutes to prepare!,255.0,11.0,27.0,12.0,dinner,"['1/2 cup masoor dal (red lentils)', '1/2 cup moong dal (yellow lentils)', '1/2 tsp turmeric powder', '1 1/2 tsp salt', '1 1/2 tsp red chili powder', 'water (see notes)', '1/4 cup cooking oil', '1 tsp cumin seeds', '5 garlic cloves', '3 dry red chilies', '10 curry leaves (optional)']","['Wash the lentils well, rinsing until the water runs clear (see notes)', 'Add the dal, turmeric, red chilies, salt and 3 cups of water to your instant pot.', 'Seal the pot and set the timer on high pressure for 15 minutes.', 'Once the 15 minutes are up, wait 5 minutes before you release the steam and open the Instant Pot.', 'If you feel the need to thicken the dal, turn the Instant Pot on saute mode and cook till you have the desired consistency.', 'Once the dal is done to your liking, turn the Instant Pot off and cover loosely while you prepare your tempering.', 'Soak the dal In water for 30 minutes (optional-see notes)', 'Drain the water and add the lentils, turmeric, red chilies, salt and 4 cups of fresh water in a medium sized cooking pot and set the heat on high.', 'Once the mixture starts to boil, reduce the heat to medium.', 'Using a slotted spoon, remove any scum that rises to the top.', 'Cover and continue to cook on low heat for about 20 minutes.', 'Uncover, turn the flame up and stir till the lentils are slightly blended and you have the desired consistency.', 'Turn the stove off and cover while you prepare your tempering.', 'Slice the garlic cloves into thin slices.', 'Heat the 1/4 cup cooking oil on high heat for about 1-2 minutes.', 'First add the cumin seeds and let them cook for 30 seconds (see notes)', 'Next add the garlic and cook till it is a light brown (see notes)', 'At this point add the dry red chillies and saute for 10-15 seconds (see notes)', 'Pour the entire mixture on your cooked dal, garnish with the cilantro and green chilies if desired and serve.']",5.0,"5
minutes","20
minutes","Main Course, Side Dish","{'Saturated Fat': '1 g', 'Polyunsaturated Fat': '3 g', 'Monounsaturated Fat': '7 g', 'Trans Fat': '0.04 g', 'Sodium': '718 mg', 'Potassium': '295 mg', 'Fiber': '8 g', 'Sugar': '2 g', 'Vitamin A': '563 IU', 'Vitamin C': '81 mg', 'Calcium': '42 mg', 'Iron': '3 mg'}",dinner,main,yes,maybe,7
Easy Milk Barfi Recipe,"This Easy Milk Barfi Recipe is an easy, no-bake, gluten-free, South Asian white fudge that is very popular during celebrations",206.0,7.0,20.0,11.0,supper,"['1/3 cup ghee', '1 cup whole milk', '3 cups full fat milk powder', '¾ cups granulated sugar', '7 pods cardamom (see notes)', '⅛ tsp salt', '2 tbsp almonds (see notes)', '1 tbsp rose petals (optional)', 'edible silver or gold leaf (optional)']","['Heat the ghee till it has all melted.', 'Add the whole milk to the ghee and let it heat so that the milk powder dissolves in it well.', 'Start adding in the milk powder a little at a time to avoid clumping and whisk till it is all incorporated. (see notes)', 'Add in the sugar and stir till it is all melted.', 'Keep stirring constantly at medium low heat till the mixture starts to thicken.', 'About halfway through add in the cardamom and half of the almonds and continue to stir.', 'Once the mixture starts to come away from the sides of the pan, keep stirring for a few more minutes till you have a soft doughy mixture in the center of the pan (see notes)', 'Turn the heat off at this point to avoid overcooking and take 1/2 teaspoon of the mixture and put it on a plate.', 'Chill this small amount in the fridge for a minute and then see if it rolls into a smooth ball. If it does, your mixture is ready to be poured into the baking pan.', 'Grease your pan with nonstick spray and line it with parchment paper.', 'Spoon the mixture into the pan and smooth it out with a soft spatula to fill out all the edges and have a smooth surface on top.', 'Sprinkle the remaining nuts and pat them in a little bit to stick to the barfi.', 'Add the rose petals, silver leaf or any other garnish at this point as well and place the barfi in the fridge to set.', 'After a minimum of 30 minutes, remove the entire slab of barfi carefully from the tin using the parchment to lift it out and cut it into squares or diamond shaped pieces.']",16.0,"10
minutes","20
minutes",Dessert,"{'Saturated Fat': '7 g', 'Polyunsaturated Fat': '0.5 g', 'Monounsaturated Fat': '3 g', 'Cholesterol': '35 mg', 'Sodium': '113 mg', 'Potassium': '357 mg', 'Fiber': '0.3 g', 'Sugar': '19 g', 'Vitamin A': '252 IU', 'Vitamin C': '2 mg', 'Calcium': '243 mg', 'Iron': '0.2 mg'}",afternoon_snack,dessert,no,no,3
Bihari Kabab,"Bihari Kabab are thin tenderloin strips marinated in a unique blend of spices, tenderized overnight, cooked and then smoked using lit charcoal",613.0,28.0,10.0,51.0,dinner,"['1/4 cup avocado oil (see notes)', '1 1/4 lbs tenderloin strips (see notes)', '1/2 onion (see notes)', '1 tbsp garlic paste', '1 tbsp ginger paste', '1/2 tbsp green chili paste', '1/2 kiwi (see notes)', '2 tbsp distilled white vinegar', '1/4 cup plain yogurt', '1/2 tbsp gram flour (besan) (see notes)', '1 charcoal', '1 tbsp oil', '1/2 tbsp poppy seeds (khus khus)', '1/2 tbsp nutmeg (jaiphal)', '1 tbsp mace (javitri)', '1 tbsp star anise (badiyan ka phool)', '5 whole red kashmiri chilies (sabut laal mirchi)', '1 tsp salt', '1 tsp red chili powder (laal mirchi powder)', '1 tsp cumin powder (zeera powder)', '1 tsp garam masala powder', '1 tsp black pepper powder (kali mirchi powder)']","['Take the 2""x6"" tenderloin strips and beat them with a meat mallet till they are very thin.', 'Chop the onion and fry it in the 1/4 cup oil till it is a deep brown and set aside.', 'Peel half a kiwi, mash it, and set it aside.', 'Dry roast the whole spices and then grind them to a powder using a spice grinder.', 'Take all of the ingredients except the beef tenderloin strips and grind them to a paste in a food processor.', 'Marinate the beef in this mixture overnight (see notes)', 'Remove the meat from the fridge after the marination period is over and thread the strips on the skewers.', 'Preheat the oven to 350° Fahrenheit', 'Drizzle a little Avocado oil on the grill pan and then saute the skewered meat till it is brown on all four sides.', 'Brush the roasting Pan with some oil and place the skewers in it.', 'Drizzle any remaining marinade over the skewers.', 'Cover with foil and bake for about 30-60 minutes, till the meat is cooked through.', 'Take a small bowl and place it in the roasting pan.', 'Heat a piece of charcoal and place it in the bowl.', 'Pour a tablespoon of cooking oil over the lit coal to make it smoke.', 'Cover the roasting pan with foil and place a baking sheet over it to keep the smoke in.', 'Remove and discard the coal after 5 minutes and enjoy your kabab.']",4.0,"30
minutes","1
hour",Main Course,"{'Saturated Fat': '15 g', 'Polyunsaturated Fat': '5 g', 'Monounsaturated Fat': '26 g', 'Trans Fat': '0.01 g', 'Cholesterol': '101 mg', 'Sodium': '680 mg', 'Potassium': '628 mg', 'Fiber': '3 g', 'Sugar': '3 g', 'Vitamin A': '371 IU', 'Vitamin C': '12 mg', 'Calcium': '98 mg', 'Iron': '6 mg'}",dinner,main,no,no,3
Mint Chutney,This Raita Recipe (Pakistani Cilantro Sauce) is prepared by mixing chutney and yogurt to create a sauce that pairs perfectly with spicy food.,31.0,2.0,3.0,1.0,unknown,"['2 cup cilantro', '1/4 yellow onion (see notes)', '1 serrano pepper (see notes)', '1 garlic clove', '1 tsp crushed ginger (see notes)', '1 lemon (juiced)', '1/2 tsp salt', '1/2 tsp red chilli powder', '1/2 tsp cumin (see notes)', '1/2 amchur powder (see notes)', '1/2 sugar', '1/4 cup water (if needed)', '2 cups yogurt (see notes)', '1/4 cup milk (if needed)']","['Wash and dry the Cilantro and remove any thick stems (see notes)', 'Peel the ginger and zest it.', 'Slice the quartered onion.', 'Remove the stem from the serrano pepper.', 'Add all of the ingredients except the yogurt to the blender and pulse till you have a thin paste (see notes)', 'Mix 1 tablespoon of the chutney per half cup of yogurt to make the raita.', 'Freeze unused chutney in an ice tray for future use (see notes).']",12.0,"10
minutes",,"condiment, Side Dish","{'Saturated Fat': '1 g', 'Polyunsaturated Fat': '0.1 g', 'Monounsaturated Fat': '0.4 g', 'Cholesterol': '5 mg', 'Sodium': '119 mg', 'Potassium': '99 mg', 'Fiber': '0.4 g', 'Sugar': '2 g', 'Vitamin A': '253 IU', 'Vitamin C': '6 mg', 'Calcium': '56 mg', 'Iron': '0.2 mg'}",lunch,condiment,yes,yes,8
