meal_id,meal_type,kcal,title,protein,carbohydrate,fat,fatty_acids_saturated,iron,vitamin_C,calcium,fiber
1,dinner,520.84,Pearl barley with vegetables,43.35576999999999,92.00476,25.91956,8.54845,0.0052075999999999,0.00439,0.3013957,2.115
2,dinner,764.84,Bulgur wheat with vegetables,47.29599999999999,88.816,26.2285,8.848450000000001,0.0042225,0.00439,0.3085,5.815
3,dinner,705.92,Polenta with vegetables,49.09599999999999,58.811,29.684050000000003,9.04845,0.0100225,0.00439,0.3595,10.015
4,dinner,751.84,Quinoa with vegetables,43.396,93.316,24.628500000000003,8.688450000000001,0.0039525,0.00439,0.2905000000000001,3.2150000000000003
5,dinner,515.74,Basmati rice with vegetables,48.78251999999999,133.00776000000002,26.55356,6.4365,0.0074851,0.03156,0.2560632,0.0
6,dinner,759.74,Pasta with vegetables,54.693,128.226,27.017,6.8865,0.0060075,0.03156,0.26672,5.55
7,dinner,700.82,Wheat bran with vegetables,57.393,83.2185,32.200325,7.1865000000000006,0.0147075,0.03156,0.3432199999999999,11.85
8,dinner,746.74,Turnip with vegetables,48.843,134.976,24.617,6.6465,0.0056025,0.03156,0.23972,1.65
9,lunch,561.1,"Burger, vegetables, potatoes & lentils",26.57,72.655,13.145,5.034999999999999,0.005479,0.129,0.32505,4.27
10,lunch,585.1,"Burger, vegetables, potatoes & split peas",28.21,74.725,13.255,5.047,0.006245,0.129,0.32325,3.29
11,lunch,606.1,"Burger, vegetables, potatoes & pinto beans",28.89,78.73499999999999,13.405,5.097,0.005875,0.129,0.32105,3.29
12,lunch,583.1,"Burger, vegetables, potatoes & red kidney beans",28.09,74.875,13.195,5.047,0.005945,0.1293,0.32775,3.29
13,dinner,798.05,"Burger, vegetables, potatoes & brown beans",34.508500000000005,135.4905,17.79335,9.201503,0.007152214,0.0301,0.4662014,8.22683
14,dinner,843.05,"Burger, vegetables, potatoes & pinto dried beans",46.88139,167.91591,19.17997,9.53216,0.00926411,0.0301,0.4448663,3.0
15,dinner,820.05,"Baked potato, lentils, cheese",42.615,147.32999999999998,18.06,9.2655,0.0096375,0.0317,0.4805999999999999,3.0
16,dinner,833.05,"Baked potato, split peas, cheese",43.255,151.32999999999998,18.38,9.4255,0.0086775,0.0301,0.455,3.0
17,breakfast,577.71,"Baked potato, pinto beans, cheese",38.9635,54.94949999999999,17.32565,4.420997,0.009804486,0.149,0.3122986,5.343170000000001
18,breakfast,601.71,"Baked potato, red kidney beans, cheese",40.877,57.365,17.454,4.435,0.0106982,0.149,0.3102,4.2
19,breakfast,622.71,"Baked potato, brown beans, cheese",41.67061,62.04409,17.62903,4.49334,0.0102665899999999,0.149,0.3076336999999999,4.2
